Country,Population,PopUnder15,PopOver60,HealthExp,AdultMortalityRate,HealthyLifeBirth,HealthyLifeBirthM,HealthyLifeBirthF,HealthyLife60,HealthyLife60M,HealthyLife60F,DoctorsPer100,NursesPer100,BasicSanitation,HighBloodPressure,HealthExpGDP,HealthExpUS,HealthExpPPP,HealthExpOPP,CleanWater,HealthRisks,CleanCities,PollPulmDisease,PollHeartDisease,PollRespInfect,PollStroke,PollsTBLCancer,PollTotalDeaths,TotalObesityPrev,ObesityPrevM,ObesityPrevF,DailyTobaccoUse,DailyTobaccoUseM,DailyTobaccoUseF,DailyTobaccoSmoke,DailyTobaccoSmokeM,DailyTobaccoSmokeF,DailyCigSmoke,DailyCigSmokeM,DailyCigSmokeF
Algeria,40606,29,10.7,9.9,95,65.5,65.4,65.6,15.8,15.7,15.8,18.325,22.43,88,25.1,6.4,258.5,974.8,84.1,94,80,34.5,3,22,7,7,2,40,27.4,19.9,34.9,15,29.2,0.8,11.7,22.9,0.5,8.4,16.5,0.2
Argentina,43847,25.1,19.3,6.92,111,68.4,65.9,70.7,17.3,15.3,19.1,40.013,25.821,94,22.6,9.1,1324.6,1916.5,198.9,99,61,11.7,7,13,10,5,2,37,28.3,27.3,29,14.8,18.8,10.8,14.8,18.8,10.8,14.3,18.3,10.3
Armenia,2925,19.9,1.4,7.04,116,66.3,63.6,68.7,15.1,13.6,16.3,29.143,49.535,94,25.5,10.4,407.6,1001.1,343.8,100,83,32.9,9,50,3,10,9,81,20.2,17.1,23,24.5,47.7,1.3,24.5,47.7,1.3,21.5,42,1.1
Australia,24126,18.9,14.4,17.31,61,73,71.8,74.1,20.4,19.3,21.4,34.886,122.016,100,15.2,9.2,5331.8,4816.2,967.8,100,92,7.3,3,8,1,3,2,17,29,29.6,28.4,11.8,13.2,10.4,12.2,13.8,10.6,10.4,11.8,8.9
Austria,8712,14.1,6.2,16.27,62,72.4,70.9,73.9,19.3,17.9,20.6,51.035,70.138,100,21,10.4,4939.9,5617.4,948.6,100,69,13.1,5,24,2,5,4,39,20.1,21.9,18.3,21.8,22.3,21.4,21.8,22.3,21.4,21.2,21.8,20.7
Bahrain,1425,20.3,0.2,10.47,57,68.1,68.3,67.6,16,16,15.8,9.257,24.944,100,21.4,4.7,1127.2,2265.3,344.4,100,80,69,1,9,2,1,1,15,29.8,25.5,36.8,18.8,32.8,4.7,15.3,27.9,2.8,11.3,21.7,0.9
Bangladesh,162952,28.9,33.7,5.66,130,63.3,62.6,64.1,14.7,14,15.4,4.858,2.75,48,24.7,2.3,36.3,94.3,26.8,97,67,58.6,25,31,13,28,5,103,3.6,2.3,5,34.2,52.2,16.2,18.9,37,0.8,14.5,28.5,0.4
Belarus,9480,16.5,5.7,13.79,161,65.5,61.4,69.3,15.1,12.3,17.2,51.905,110.027,98,27.1,5.9,342.5,1129.1,94.2,96,90,19.3,4,83,2,17,4,110,24.5,22.1,26.3,23.1,38.3,8,23.1,38.3,8,20.7,34.7,6.6
Belgium,11358,17,8,15.1,72,71.6,70.2,73,18.8,17.4,20.1,30.138,118.08,99,17.5,10.3,4507.4,5119.1,795,100,84,13,8,15,6,6,5,39,22.1,23.1,21,20.2,21.6,18.8,20.2,21.6,18.8,17.1,17.6,16.6
Benin,10872,42.9,1.6,9.55,242,53.5,52.5,54.4,13.3,12.8,13.7,0.481,7.596,16,27.7,3.7,30.8,84.7,13.8,66,35,30.4,8,22,70,18,0,119,9.6,4.7,14.2,6.5,11.3,1.7,5,9.5,0.5,3.8,7.4,0.1
Bosnia and Herzegovina,3517,14.2,2.3,14.11,92,67.2,64.9,69.4,15.4,13.8,16.8,21.616,61.798,95,30.8,8.9,460.5,1172.4,134.2,96,35,29.7,16,76,5,42,19,159,17.9,17.1,18.4,31.4,38.8,23.9,31.4,38.8,23.9,27.2,33.9,20.5
Botswana,2250,31.6,0.4,8.84,249,57.5,55.2,59.5,13.1,11.7,14.3,5.269,41.15,77,29.6,6.1,465.9,1044.3,13.9,90,30,20.9,8,16,19,10,1,53,18.9,8.1,29.3,18.1,28.3,7.8,15.4,27.3,3.5,8.9,16.5,1.3
Brazil,207653,22.1,73.4,6.78,143,66,63.4,68.7,16.7,15.3,17.9,0,91.081,88,23.3,9.5,928.8,1472.2,255,98,87,11.8,5,12,7,6,2,31,22.1,18.5,25.4,11.4,14.6,8.1,10.6,13.8,7.4,9.5,12.5,6.6
Brunei Darussalam,423,23.4,0.1,6.47,98,67.9,67,68.8,15.8,15.1,16.5,17.812,66.426,96,18.9,2.4,671.4,1875,34.8,100,67,5.8,1,5,1,2,0,9,14.1,12.5,15.7,11.5,21.3,1.8,11.5,21.3,1.8,10.3,19.2,1.4
Bulgaria,7131,14.1,5.6,10.95,135,66.4,63.5,69.2,15.1,13.2,16.8,40.332,48.156,86,28.4,8.1,663.7,1689.7,309,99,64,20.8,12,79,5,37,8,141,25,25.5,24.3,30,34.4,25.7,30,34.4,25.7,27.6,32,23.2
Burkina Faso,18646,45.4,2.1,11.16,255,52.9,52.7,53.1,11.7,11.3,12,0.657,6.698,19,32.6,6.9,44.4,129.1,14.1,48,44,36.3,4,21,55,11,1,93,5.6,2.6,8.1,13.9,21.6,6.2,10.6,19.6,1.6,5.3,10.3,0.3
Burundi,10524,44.9,1.3,13.19,290,52.6,51.2,54,12.3,11.8,12.8,0.5,6.66,46,29.2,7.5,23.5,59.2,6,61,48,35.6,7,17,61,14,0,100,5.4,2.1,8.6,9.8,14.5,5.1,7,12.6,1.4,5.8,11,0.7
Cambodia,15762,31.4,3.1,6.13,170,60.8,59.4,62.1,12.8,12.2,13.2,0,5.889,59,26.1,5.9,82.1,238.2,49.6,79,50,24.9,8,21,29,25,4,87,3.9,2.7,4.8,18.4,30.9,5.9,15.3,28.8,1.7,13.7,25.9,1.6
Canada,36290,16,24,18.77,63,73.2,72,74.3,20.5,19.4,21.6,23.105,98.803,99,13.2,10.6,4754.9,4928.6,676.1,99,99,6.7,3,8,1,2,2,15,29.4,29.5,29.3,11.2,13.8,8.5,9.3,11,7.5,9.2,11,7.5
